group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Der Vater aller Probleme(2).PDF | Der Vater aller Probleme.PDF,Der Vater aller Probleme | Der Vater aller Probleme,Rheinische Post | Rheinische Post,Mittwoch 12. September 2018 | Mittwoch 12. September 2018
near_010,duplicate_near,2,"Leeres Land Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine Wir(2).PDF | Leeres Land Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine Wir.PDF","Leeres Land; Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine | Leeres Land Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),27. September 2018 | 27. September 2018
near_011,duplicate_near,2,"Maaßen stürzt Koalition in Krise Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Se(2).PDF | Maaßen stürzt Koalition in Krise Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Se.PDF","Maaßen stürzt Koalition in Krise Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Seehofer | Maaßen stürzt Koalition in Krise; Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Seehofer",Rheinische Post | Rheinische Post,Freitag 14. September 2018 | Freitag 14. September 2018
near_012,duplicate_near,2,"Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit H(2).PDF | Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit H.PDF","Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit Härte | Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit Härte",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
near_013,duplicate_near,2,"Regiert der Mob_ Ein Mord, Trauer, Chaos_ Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch di(2).PDF | Regiert der Mob_ Ein Mord, Trauer, Chaos_ Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch di.PDF","Regiert der Mob?; Ein Mord, Trauer, Chaos: Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch die | Regiert der Mob? Ein Mord, Trauer, Chaos: Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch die",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),30. August 2018 | 30. August 2018
near_014,duplicate_near,2,Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt(2).PDF | Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt.PDF,Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt | Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. September 2018 | 20. September 2018
near_015,duplicate_near,2,Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De(2).PDF | Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De.PDF,Unbehelligt von der Polizei; Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der | Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der,Berliner Zeitung | Berliner Zeitung,29. August 2018 | 29. August 2018
near_016,duplicate_near,2,Verdächtiger auf freiem Fuß Der 22-jährige Iraker wird aus der Haft entlassen. Dagegen verdichten si.PDF | Verdächtiger von Chemnitz auf freiem Fuß.PDF,Verdächtiger auf freiem Fuß Der 22-jährige Iraker wird aus der Haft entlassen. Dagegen verdichten sich die | Verdächtiger von Chemnitz auf freiem Fuß,Südwest Presse | Frankfurter Rundschau,Mittwoch 19. September 2018 | Mittwoch 19. September 2018
near_017,duplicate_near,2,"Wer brüllt, verliert(2).PDF | Wer brüllt, verliert.PDF","Wer brüllt, verliert | Wer brüllt, verliert",Berliner Zeitung | Berliner Zeitung,31. August 2018 | 31. August 2018
near_018,duplicate_near,2,Wie groß kann die noch werden_ Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei(2).PDF | Wie groß kann die noch werden_ Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei.PDF,Wie groß kann die noch werden?; Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei. Ist die | Wie groß kann die noch werden? Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei. Ist die,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),27. September 2018 | 27. September 2018
near_019,duplicate_near,2,»Im Verborgenen Gutes tun!« So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der Dem(2).PDF | »Im Verborgenen Gutes tun!« So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der Dem.PDF,»Im Verborgenen Gutes tun!«; So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der | »Im Verborgenen Gutes tun!« So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. September 2018 | 20. September 2018
near_020,duplicate_near,2,»Integration gelingt heute besser als je zuvor« Das sagt der Migrationsforscher Aladin El-Mafaalani.PDF | Â»Integration gelingt heute besser als je zuvorÂ« Das sagt der Migrationsforscher Aladin El-Mafaalan.PDF,»Integration gelingt heute besser als je zuvor« Das sagt der Migrationsforscher Aladin El-Mafaalani. Wie | Â»Integration gelingt heute besser als je zuvorÂ« Das sagt der Migrationsforscher Aladin El-Mafaalani. Wie,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. September 2018 | 20. September 2018
near_021,duplicate_near,2,»Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffb(2).PDF | »Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffb.PDF,»Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffbase. | »Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffbase.,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
variant_001,regional_variant,2,_In Frankfurt ist kein Platz für Ausgrenzung_.PDF | _Kein Platz für Ausgrenzung_.PDF,"""In Frankfurt ist kein Platz für Ausgrenzung"" | ""Kein Platz für Ausgrenzung""",Frankfurter Rundschau | Frankfurter Rundschau,Montag 3. September 2018 | Montag 3. September 2018
variant_002,regional_variant,2,"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF | _Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis.PDF","""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska | ""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska",Berliner Zeitung | Berliner Zeitung,01. September 2018 | 01. September 2018
variant_003,regional_variant,2,Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis(2).PDF | Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis.PDF,Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis. | Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis.,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),13. September 2018 | 13. September 2018
variant_004,regional_variant,2,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_(2).PDF | Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_.PDF,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz? | Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
variant_005,regional_variant,2,Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die 65(2).PDF | Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die 65.PDF,Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die | Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
variant_006,regional_variant,2,Die tanzende Mehrheit Warum Musik stärker sein kann als Politik(2).PDF | Die tanzende Mehrheit Warum Musik stärker sein kann als Politik.PDF,Die tanzende Mehrheit; Warum Musik stärker sein kann als Politik | Die tanzende Mehrheit Warum Musik stärker sein kann als Politik,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
variant_007,regional_variant,2,"Er sagt, er habe Angst Ein Abend voller Missverständnisse_ Mit einem Schulfreund in der alten Heimat(2).PDF | Er sagt, er habe Angst Ein Abend voller Missverständnisse_ Mit einem Schulfreund in der alten Heimat.PDF","Er sagt, er habe Angst Ein Abend voller Missverständnisse: Mit einem Schulfreund in der alten Heimat Karl- | Er sagt, er habe Angst Ein Abend voller Missverständnisse: Mit einem Schulfreund in der alten Heimat Karl-",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),13. September 2018 | 13. September 2018
variant_008,regional_variant,2,"Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w(2).PDF | Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w.PDF","Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt: Rechts macht mobil , links hält ein wenig | Funkenflug; Jagdszenen in Chemnitz, einer deutschen Großstadt: Rechts macht mobil, links hält ein wenig",Berliner Zeitung | Berliner Zeitung,29. August 2018 | 29. August 2018
variant_009,regional_variant,2,Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant eine riesige Demo am 13. O.PDF | Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant Großdemo am 13. Oktober -.PDF,Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant eine riesige Demo am 13. | Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant Großdemo am 13. Oktober -,Berliner Zeitung | Berliner Zeitung,06. September 2018 | 06. September 2018
variant_010,regional_variant,2,"Leeres Land Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine Wir(2).PDF | Leeres Land Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine Wir.PDF","Leeres Land; Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine | Leeres Land Nach den Ausschreitungen in Chemnitz hieß es, der Osten verliere ohne Toleranz seine",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),27. September 2018 | 27. September 2018
variant_011,regional_variant,2,"Maaßen stürzt Koalition in Krise Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Se(2).PDF | Maaßen stürzt Koalition in Krise Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Se.PDF","Maaßen stürzt Koalition in Krise Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Seehofer | Maaßen stürzt Koalition in Krise; Die SPD fordert den Rücktritt des obersten Verfassungsschützers, Seehofer",Rheinische Post | Rheinische Post,Freitag 14. September 2018 | Freitag 14. September 2018
variant_012,regional_variant,2,"Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit H(2).PDF | Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit H.PDF","Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit Härte | Meine Lehre aus Chemnitz Wer der AfD den Nährboden entziehen will, muss Hilfe für Asylbewerber mit Härte",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
variant_013,regional_variant,2,"Regiert der Mob_ Ein Mord, Trauer, Chaos_ Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch di(2).PDF | Regiert der Mob_ Ein Mord, Trauer, Chaos_ Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch di.PDF","Regiert der Mob?; Ein Mord, Trauer, Chaos: Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch die | Regiert der Mob? Ein Mord, Trauer, Chaos: Wie rechtsextreme Gewalt in Chemnitz Schockwellen durch die",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),30. August 2018 | 30. August 2018
variant_014,regional_variant,2,Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt(2).PDF | Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt.PDF,Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt | Sie sind doch bloß nachgeeilt! Die Chemnitzer Kommentare des Politologen Werner J. Patzelt,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. September 2018 | 20. September 2018
variant_015,regional_variant,2,Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De(2).PDF | Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De.PDF,Unbehelligt von der Polizei; Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der | Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der,Berliner Zeitung | Berliner Zeitung,29. August 2018 | 29. August 2018
variant_016,regional_variant,2,"Wer brüllt, verliert(2).PDF | Wer brüllt, verliert.PDF","Wer brüllt, verliert | Wer brüllt, verliert",Berliner Zeitung | Berliner Zeitung,31. August 2018 | 31. August 2018
variant_017,regional_variant,2,Wie groß kann die noch werden_ Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei(2).PDF | Wie groß kann die noch werden_ Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei.PDF,Wie groß kann die noch werden?; Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei. Ist die | Wie groß kann die noch werden? Erstmals rangiert die Partei in bundesweiten Umfragen auf Platz zwei. Ist die,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),27. September 2018 | 27. September 2018
variant_018,regional_variant,2,»Im Verborgenen Gutes tun!« So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der Dem(2).PDF | »Im Verborgenen Gutes tun!« So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der Dem.PDF,»Im Verborgenen Gutes tun!«; So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der | »Im Verborgenen Gutes tun!« So wirbt der Verfassungsschutz um neue Mitarbeiter. Dabei hat er der,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. September 2018 | 20. September 2018
variant_019,regional_variant,2,»Integration gelingt heute besser als je zuvor« Das sagt der Migrationsforscher Aladin El-Mafaalani.PDF | Â»Integration gelingt heute besser als je zuvorÂ« Das sagt der Migrationsforscher Aladin El-Mafaalan.PDF,»Integration gelingt heute besser als je zuvor« Das sagt der Migrationsforscher Aladin El-Mafaalani. Wie | Â»Integration gelingt heute besser als je zuvorÂ« Das sagt der Migrationsforscher Aladin El-Mafaalani. Wie,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. September 2018 | 20. September 2018
variant_020,regional_variant,2,»Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffb(2).PDF | »Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffb.PDF,»Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffbase. | »Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffbase.,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
