file_name,decision,reason,duplicate_group,notes
Flüchtlingsunterkunft ist bald fertig In der alten Druckerei Schülingkamp läuft der Umbau für die Un.PDF,keep,,,
Gespensterdebatte.PDF,keep,,,
In der Flüchtlingswohnung hängen jetzt viele Bilder Migration Nach schwierigen Monaten mit Wohnungss.PDF,keep,,,
Kostenexplosion durch Bezahlkarte Berlin will die Restriktionen für Asylbewerber angeblich nur zum B.PDF,keep,,,
Mehr Skepsis gegenüber Migration.PDF,keep,,,
Mit Flüchtlingen gegen Fachkräftemangel Landrat Petrauschke sieht in der steigenden Zahl der Geflüch.PDF,keep,,,
NACHRICHTEN.PDF,keep,,,
Offenheit für Zuwanderung.PDF,keep,,,
Politik der Puzzlestücke Herbert Reul kritisiert das Vorgehen der Ampel zur Begrenzung der Migration(2).PDF,drop,duplicate_exact,exact_006,Dropped in favor of representative file: Politik der Puzzlestücke Herbert Reul kritisiert das Vorgehen der Ampel zur Begrenzung der Migration.PDF (exact_006).
Politik der Puzzlestücke Herbert Reul kritisiert das Vorgehen der Ampel zur Begrenzung der Migration.PDF,keep,,exact_006,Representative kept for exact_006.
Sachsen fordert Obergrenze bei Flüchtlingen.PDF,keep,,,
Suche nach Bleibe für Flüchtlinge.PDF,keep,,,
Team Bürgerbegehren sammelt Spenden für Klage.PDF,keep,,,
"Turnhallen bleiben weiter Unterkunft Wohnungen für Asylbewerber zu finden, wird auch in Kevelaer imm.PDF",keep,,,
Unwucht bei der Unterbringung.PDF,keep,,,
Versperrter Arbeitsmarkt.PDF,keep,,,
"Vertrieben und verzweifelt Von Hannah Arendt bis Walter Benjamin_ Das Buch _Marseille 1940_ erzählt,.PDF",keep,,,
Viele Mythen um Flüchtlingsunterkunft Die geplante Unterbringung von Flüchtlingen in Spellen beschäf.PDF,keep,,,
Warten auf die Bundeslösung Geflüchtete Landrat Scheffold befürwortet eine Bezahlkarte „außerordentl.PDF,keep,,,
Zankapfel Migration.PDF,drop,commentary_noncore,,
"„Alle, die da sind, sollen arbeiten dürfen“.PDF",keep,,,
„Er ist ein echter Glücksfall für uns“ Mohammad Younes Momeni kam 2018 als Geflüchteter aus dem Iran.PDF,keep,,,
„Es geht um das Leben im Interim“ Die Schauspielerin erzählt in ihrem neuen Buch Geschichten von Men(2).PDF,drop,duplicate_exact,exact_007,Dropped in favor of representative file: „Es geht um das Leben im Interim“ Die Schauspielerin erzählt in ihrem neuen Buch Geschichten von Men.PDF (exact_007).
„Es geht um das Leben im Interim“ Die Schauspielerin erzählt in ihrem neuen Buch Geschichten von Men.PDF,keep,,exact_007,Representative kept for exact_007.
„Mülltrennung ist kaum zu vermitteln“ Der Stadtrat behandelte in der Fragestunde gleich mehrere Them.PDF,keep,,,
